run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time (ns)
1,M2 Max,32,AVL Tree,71683,10000,4000,65137000
2,M2 Max,32,AVL Tree,71683,10000,4000,58584000
3,M2 Max,32,AVL Tree,71683,10000,4000,58510000
4,M2 Max,32,AVL Tree,71683,10000,4000,57336000
5,M2 Max,32,AVL Tree,71683,10000,4000,60406000
6,M2 Max,32,AVL Tree,71469,12500,5000,63846000
7,M2 Max,32,AVL Tree,71469,12500,5000,61451000
8,M2 Max,32,AVL Tree,71469,12500,5000,61329000
9,M2 Max,32,AVL Tree,71469,12500,5000,64337000
10,M2 Max,32,AVL Tree,71469,12500,5000,61746000
11,M2 Max,32,AVL Tree,71668,15000,6000,73253000
12,M2 Max,32,AVL Tree,71668,15000,6000,72319000
13,M2 Max,32,AVL Tree,71668,15000,6000,74280000
14,M2 Max,32,AVL Tree,71668,15000,6000,72594000
15,M2 Max,32,AVL Tree,71668,15000,6000,74066000
16,M2 Max,32,AVL Tree,72861,17500,7000,99985000
17,M2 Max,32,AVL Tree,72861,17500,7000,97835000
18,M2 Max,32,AVL Tree,72861,17500,7000,100750000
19,M2 Max,32,AVL Tree,72861,17500,7000,97503000
20,M2 Max,32,AVL Tree,72861,17500,7000,97293000
21,M2 Max,32,AVL Tree,73129,20000,8000,108890000
22,M2 Max,32,AVL Tree,73129,20000,8000,106421000
23,M2 Max,32,AVL Tree,73129,20000,8000,107142000
24,M2 Max,32,AVL Tree,73129,20000,8000,106556000
25,M2 Max,32,AVL Tree,73129,20000,8000,104913000
26,M2 Max,32,AVL Tree,74074,22500,9000,132287000
27,M2 Max,32,AVL Tree,74074,22500,9000,132239000
28,M2 Max,32,AVL Tree,74074,22500,9000,129665000
29,M2 Max,32,AVL Tree,74074,22500,9000,131557000
30,M2 Max,32,AVL Tree,74074,22500,9000,129316000
31,M2 Max,32,AVL Tree,73462,25000,10000,143602000
32,M2 Max,32,AVL Tree,73462,25000,10000,137593000
33,M2 Max,32,AVL Tree,73462,25000,10000,147876000
34,M2 Max,32,AVL Tree,73462,25000,10000,138634000
35,M2 Max,32,AVL Tree,73462,25000,10000,150390000
